,Averaging Time (s),Frequency (Hz),InPhase Standard Deviation X (V),InPhase X (V),OutPhase Standard Deviation Y (V),OutPhase Y (V),Power,RHeater,Thin Film Thickness,Z1 Heater Length,Z2 Heater Width,Z3 Porosity
0,1.0,30.0,0.0,-0.350466,0.0,-0.00640872,0.0,0,0.0,0.0,0.0,0
1,1.0,35.393838235848406,0.0,-0.351595,0.0,-0.00628665,0.0,0,0.0,0.0,0.0,0
2,1.0,41.757459502180154,0.0,-0.351595,0.0,-0.00604251,0.0,0,0.0,0.0,0.0,0
3,1.0,49.26522555867186,0.0,-0.351564,0.0,-0.00582889,0.0,0,0.0,0.0,0.0,0
4,1.0,58.12284746920723,0.0,-0.351595,0.0,-0.0056763,0.0,0,0.0,0.0,0.0,0
5,1.0,68.57302203773372,0.0,-0.351595,0.0,-0.00549319,0.0,0,0.0,0.0,0.0,0
6,1.0,80.90208164489385,0.0,-0.351564,0.0,-0.00537112,0.0,0,0.0,0.0,0.0,0
7,1.0,95.44783968942585,0.0,-0.351564,0.0,-0.00524905,0.0,0,0.0,0.0,0.0,0
8,1.0,112.60884659762434,0.0,-0.351595,0.0,-0.00518802,0.0,0,0.0,0.0,0.0,0
9,1.0,132.8553100133928,0.0,-0.351625,0.0,-0.00509647,0.0,0,0.0,0.0,0.0,0
10,1.0,156.74197837958386,0.0,-0.351595,0.0,-0.00500491,0.0,0,0.0,0.0,0.0,0
11,1.0,184.92334091779466,0.0,-0.351595,0.0,-0.0049744,0.0,0,0.0,0.0,0.0,0
12,1.0,218.17156048256905,0.0,-0.351564,0.0,-0.00485232,0.0,0,0.0,0.0,0.0,0
13,1.0,257.3976306460889,0.0,-0.351564,0.0,-0.00482181,0.0,0,0.0,0.0,0.0,0
14,1.0,303.67633671261115,0.0,-0.351595,0.0,-0.00476077,0.0,0,0.0,0.0,0.0,0
15,1.0,358.2757045887065,0.0,-0.351595,0.0,-0.00473025,0.0,0,0.0,0.0,0.0,0
16,1.0,422.69174440157633,0.0,-0.351595,0.0,-0.00466922,0.0,0,0.0,0.0,0.0,0
17,1.0,498.6894408325991,0.0,-0.351625,0.0,-0.0046387,0.0,0,0.0,0.0,0.0,0
18,1.0,588.3511132918236,0.0,-0.351625,0.0,-0.00454715,0.0,0,0.0,0.0,0.0,0
19,1.0,694.1334709910709,0.0,-0.351595,0.0,-0.00451663,0.0,0,0.0,0.0,0.0,0
20,1.0,818.9349262115313,0.0,-0.351595,0.0,-0.0044556,0.0,0,0.0,0.0,0.0,0
21,1.0,966.175010133913,0.0,-0.351564,0.0,-0.00439456,0.0,0,0.0,0.0,0.0,0
22,1.0,1139.8880672066302,0.0,-0.351564,0.0,-0.00427249,0.0,0,0.0,0.0,0.0,0
23,1.0,1344.8337952561792,0.0,-0.351564,0.0,-0.00415042,0.0,0,0.0,0.0,0.0,0
24,1.0,1586.6276601133095,0.0,-0.351534,0.0,-0.00402835,0.0,0,0.0,0.0,0.0,0
25,1.0,1871.8947580857716,0.0,-0.351503,0.0,-0.00387575,0.0,0,0.0,0.0,0.0,0
26,1.0,2208.4513420740127,0.0,-0.351473,0.0,-0.00369264,0.0,0,0.0,0.0,0.0,0
27,1.0,2605.5189851036644,0.0,-0.351442,0.0,-0.00347902,0.0,0,0.0,0.0,0.0,0
28,1.0,3073.9772493063706,0.0,-0.351442,0.0,-0.00329591,0.0,0,0.0,0.0,0.0,0
29,1.0,3626.661783420931,0.0,-0.351473,0.0,-0.00299074,0.0,0,0.0,0.0,0.0,0
30,1.0,4278.716016617797,0.0,-0.351442,0.0,-0.00262453,0.0,0,0.0,0.0,0.0,0
31,1.0,5048.0060849768,0.0,-0.351473,0.0,-0.00225832,0.0,0,0.0,0.0,0.0,0
32,1.0,5955.610359508243,0.0,-0.351442,0.0,-0.00177003,0.0,0,0.0,0.0,0.0,0
33,1.0,7026.396988672592,0.0,-0.351473,0.0,-0.00128175,0.0,0,0.0,0.0,0.0,0
34,1.0,8289.705279931004,0.0,-0.351503,0.0,-0.000610355,0.0,0,0.0,0.0,0.0,0
35,1.0,9780.149590024546,0.0,-0.351473,0.0,0.000152589,0.0,0,0.0,0.0,0.0,0
36,1.0,11538.56775039093,0.0,-0.351564,0.0,0.00100709,0.0,0,0.0,0.0,0.0,0
37,1.0,13613.14001435713,0.0,-0.351564,0.0,0.00213625,0.0,0,0.0,0.0,0.0,0
38,1.0,16060.709185003725,0.0,-0.351534,0.0,0.00347902,0.0,0,0.0,0.0,0.0,0
39,1.0,18948.338094900886,0.0,-0.351503,0.0,0.00494388,0.0,0,0.0,0.0,0.0,0
40,1.0,22355.147112302868,0.0,-0.351473,0.0,0.00665286,0.0,0,0.0,0.0,0.0,0
41,1.0,26374.482021048047,0.0,-0.351442,0.0,0.00872809,0.0,0,0.0,0.0,0.0,0
42,1.0,31116.471673575557,0.0,-0.351381,0.0,0.0111695,0.0,0,0.0,0.0,0.0,0
43,1.0,36711.04549616308,0.0,-0.351351,0.0,0.0140992,0.0,0,0.0,0.0,0.0,0
44,1.0,43311.49352533558,0.0,-0.351229,0.0,0.0175477,0.0,0,0.0,0.0,0.0,0
45,1.0,51098.66651962411,0.0,-0.351046,0.0,0.0216371,0.0,0,0.0,0.0,0.0,0
46,1.0,60285.9312287713,0.0,-0.350649,0.0,0.0265199,0.0,0,0.0,0.0,0.0,0
47,1.0,71125.01659362044,0.0,-0.350039,0.0,0.0323794,0.0,0,0.0,0.0,0.0,0
48,1.0,83912.91106122118,0.0,-0.349337,0.0,0.0390627,0.0,0,0.0,0.0,0.0,0
49,1.0,98999.99999999991,0.0,-0.348452,0.0,0.0476992,0.0,0,0.0,0.0,0.0,0
