,Averaging Time (s),Frequency (Hz),InPhase Standard Deviation X (V),InPhase X (V),OutPhase Standard Deviation Y (V),OutPhase Y (V),Power,RHeater,Thin Film Thickness,Z1 Heater Length,Z2 Heater Width,Z3 Porosity,Z4 Density
0,1.0,10.0,0.0,0.154023,0.0,-0.0470278,0.05,25,0.00033,0.0025,3e-05,0,2500.0
1,1.0,11.797946078616135,0.0,0.148042,0.0,-0.0469363,0.05,25,0.00033,0.0025,3e-05,0,2500.0
2,1.0,13.919153167393386,0.0,0.142335,0.0,-0.0468142,0.05,25,0.00033,0.0025,3e-05,0,2500.0
3,1.0,16.42174185289062,0.0,0.136811,0.0,-0.0466006,0.05,25,0.00033,0.0025,3e-05,0,2500.0
4,1.0,19.374282489735744,0.0,0.131135,0.0,-0.0463564,0.05,25,0.00033,0.0025,3e-05,0,2500.0
5,1.0,22.85767401257791,0.0,0.125764,0.0,-0.0459902,0.05,25,0.00033,0.0025,3e-05,0,2500.0
6,1.0,26.967360548297954,0.0,0.12027,0.0,-0.045624,0.05,25,0.00033,0.0025,3e-05,0,2500.0
7,1.0,31.81594656314195,0.0,0.114838,0.0,-0.0451663,0.05,25,0.00033,0.0025,3e-05,0,2500.0
8,1.0,37.53628219920811,0.0,0.109559,0.0,-0.0446475,0.05,25,0.00033,0.0025,3e-05,0,2500.0
9,1.0,44.2851033377976,0.0,0.104279,0.0,-0.0440676,0.05,25,0.00033,0.0025,3e-05,0,2500.0
10,1.0,52.24732612652795,0.0,0.0990605,0.0,-0.0434268,0.05,25,0.00033,0.0025,3e-05,0,2500.0
11,1.0,61.64111363926489,0.0,0.0939641,0.0,-0.0426943,0.05,25,0.00033,0.0025,3e-05,0,2500.0
12,1.0,72.72385349418968,0.0,0.0889592,0.0,-0.0419009,0.05,25,0.00033,0.0025,3e-05,0,2500.0
13,1.0,85.79921021536296,0.0,0.0840459,0.0,-0.0410159,0.05,25,0.00033,0.0025,3e-05,0,2500.0
14,1.0,101.22544557087039,0.0,0.0792546,0.0,-0.0400698,0.05,25,0.00033,0.0025,3e-05,0,2500.0
15,1.0,119.42523486290216,0.0,0.074616,0.0,-0.0390933,0.05,25,0.00033,0.0025,3e-05,0,2500.0
16,1.0,140.89724813385877,0.0,0.0700994,0.0,-0.0380251,0.05,25,0.00033,0.0025,3e-05,0,2500.0
17,1.0,166.22981361086636,0.0,0.0657048,0.0,-0.0368655,0.05,25,0.00033,0.0025,3e-05,0,2500.0
18,1.0,196.1170377639412,0.0,0.0614932,0.0,-0.0356448,0.05,25,0.00033,0.0025,3e-05,0,2500.0
19,1.0,231.3778236636903,0.0,0.0574343,0.0,-0.0343935,0.05,25,0.00033,0.0025,3e-05,0,2500.0
20,1.0,272.9783087371771,0.0,0.0535586,0.0,-0.0331118,0.05,25,0.00033,0.0025,3e-05,0,2500.0
21,1.0,322.0583367113043,0.0,0.0498354,0.0,-0.0317385,0.05,25,0.00033,0.0025,3e-05,0,2500.0
22,1.0,379.9626890688768,0.0,0.0462954,0.0,-0.0303956,0.05,25,0.00033,0.0025,3e-05,0,2500.0
23,1.0,448.2779317520597,0.0,0.0429385,0.0,-0.0290223,0.05,25,0.00033,0.0025,3e-05,0,2500.0
24,1.0,528.8758867044365,0.0,0.0397646,0.0,-0.027649,0.05,25,0.00033,0.0025,3e-05,0,2500.0
25,1.0,623.9649193619239,0.0,0.0367739,0.0,-0.0262758,0.05,25,0.00033,0.0025,3e-05,0,2500.0
26,1.0,736.1504473580043,0.0,0.0339968,0.0,-0.0249025,0.05,25,0.00033,0.0025,3e-05,0,2500.0
27,1.0,868.5063283678882,0.0,0.0313418,0.0,-0.0235597,0.05,25,0.00033,0.0025,3e-05,0,2500.0
28,1.0,1024.6590831021235,0.0,0.0288697,0.0,-0.0222169,0.05,25,0.00033,0.0025,3e-05,0,2500.0
29,1.0,1208.8872611403103,0.0,0.0266114,0.0,-0.0209352,0.05,25,0.00033,0.0025,3e-05,0,2500.0
30,1.0,1426.2386722059325,0.0,0.0244752,0.0,-0.019684,0.05,25,0.00033,0.0025,3e-05,0,2500.0
31,1.0,1682.6686949922666,0.0,0.0224611,0.0,-0.0184938,0.05,25,0.00033,0.0025,3e-05,0,2500.0
32,1.0,1985.2034531694144,0.0,0.02063,0.0,-0.0173341,0.05,25,0.00033,0.0025,3e-05,0,2500.0
33,1.0,2342.1323295575307,0.0,0.0188905,0.0,-0.016205,0.05,25,0.00033,0.0025,3e-05,0,2500.0
34,1.0,2763.2350933103344,0.0,0.0173036,0.0,-0.0151673,0.05,25,0.00033,0.0025,3e-05,0,2500.0
35,1.0,3260.0498633415154,0.0,0.0158387,0.0,-0.0141602,0.05,25,0.00033,0.0025,3e-05,0,2500.0
36,1.0,3846.18925013031,0.0,0.0144959,0.0,-0.0131837,0.05,25,0.00033,0.0025,3e-05,0,2500.0
37,1.0,4537.713338119043,0.0,0.0132447,0.0,-0.0122681,0.05,25,0.00033,0.0025,3e-05,0,2500.0
38,1.0,5353.569728334575,0.0,0.0121155,0.0,-0.0114442,0.05,25,0.00033,0.0025,3e-05,0,2500.0
