,Averaging Time (s),Frequency (Hz),InPhase Standard Deviation X (V),InPhase X (V),OutPhase Standard Deviation Y (V),OutPhase Y (V),Power,RHeater,Thin Film Thickness,Z1 Heater Length,Z2 Heater Width,Z3 Porosity,Z4 Density
0,1,10,0,0.0382178,0,0.000261309,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
1,1,11.79794608,0,0.0380175,0,0.00027466,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
2,1,13.91915317,0,0.0378954,0,0.000291826,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
3,1,16.42174185,0,0.0378115,0,0.000316622,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
4,1,19.37428249,0,0.037699,0,0.000341417,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
5,1,22.85767401,0,0.0375979,0,0.000366213,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
6,1,26.96736055,0,0.0375121,0,0.000385286,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
7,1,31.81594656,0,0.0374339,0,0.000408174,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
8,1,37.5362822,0,0.0373652,0,0.000434877,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
9,1,44.28510334,0,0.0372908,0,0.000453951,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
10,1,52.24732613,0,0.0372126,0,0.00046158,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
11,1,61.64111364,0,0.0371516,0,0.000473024,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
12,1,72.72385349,0,0.0370924,0,0.00046921,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
13,1,85.79921022,0,0.037039,0,0.000463488,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
14,1,101.2254456,0,0.0369895,0,0.000444414,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
15,1,119.4252349,0,0.0369475,0,0.000415804,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
16,1,140.8972481,0,0.0369036,0,0.000379564,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
17,1,166.2298136,0,0.0368578,0,0.000329973,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
18,1,196.1170378,0,0.0368178,0,0.000263216,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
19,1,231.3778237,0,0.036772,0,0.000183106,0.05,29.4,3.00E-06,0.0025,2.85E-05,77,2320
